"Time (UTC)","Temperature Average 1 min (oC)","Humidity Average 1 min (%)","Wind Direction Prevailing 1 min (deg)","Wind Speed Average 1 min (m/s)","Solar Radiation Average 1 min (W/m2)","Pressure Average 1 min (mb)","Water Temperature Average 1 min (oC)","Wind Evaporation Average 1 min (m/s),"
05/02/2025 01:39,25.40,90.55,208.55,1.49,132.95,1008.95,25.48,1.16
05/02/2025 01:40,25.41,90.00,275.55,1.86,151.10,1008.93,25.51,1.11
05/02/2025 01:41,25.50,90.00,300.75,1.85,167.70,1008.92,25.60,1.07
05/02/2025 01:42,25.50,89.05,315.74,1.95,178.96,1008.93,25.69,0.99
05/02/2025 01:43,25.50,89.30,319.45,1.99,184.90,1009.00,25.70,1.27
05/02/2025 01:44,25.50,89.20,321.90,1.85,186.96,1009.00,25.70,1.40
05/02/2025 01:45,25.50,89.00,246.62,2.31,190.93,1009.00,25.80,1.54
05/02/2025 01:46,25.54,89.00,323.95,2.58,200.29,1009.00,25.80,1.41
05/02/2025 01:47,25.60,90.00,331.95,2.83,207.46,1009.00,25.80,1.66
05/02/2025 01:48,25.60,89.90,320.05,2.77,212.17,1009.00,25.80,1.66
05/02/2025 01:49,25.60,89.20,245.35,2.73,215.95,1009.00,25.86,1.45
05/02/2025 01:50,25.69,89.30,293.15,2.78,218.30,1009.00,25.90,1.69
05/02/2025 01:51,25.70,89.00,276.90,2.70,219.76,1009.00,25.90,1.64
05/02/2025 01:52,25.70,89.00,304.80,2.56,222.60,1009.01,25.90,1.67
05/02/2025 01:53,25.70,89.00,289.85,2.38,224.06,1009.10,25.99,1.55
05/02/2025 01:54,25.78,88.50,323.00,2.17,226.12,1009.10,26.04,1.30
05/02/2025 01:55,25.80,88.95,328.65,2.96,228.14,1009.10,26.10,1.58
05/02/2025 01:56,25.80,89.00,317.16,2.04,224.40,1009.10,26.10,1.23
05/02/2025 01:57,25.80,89.00,266.00,2.17,205.11,1009.20,26.10,1.61
05/02/2025 01:58,25.87,89.00,212.70,1.88,182.74,1009.20,26.10,1.38
05/02/2025 01:59,25.90,88.32,329.63,1.44,185.89,1009.20,26.15,0.84
05/02/2025 02:00,25.94,89.25,319.40,2.51,174.84,1009.28,26.15,1.58
05/02/2025 02:01,25.99,89.00,321.75,2.88,192.19,1009.30,26.18,1.60
05/02/2025 02:02,26.00,88.90,308.50,2.68,218.37,1009.27,26.15,1.74
05/02/2025 02:03,26.00,88.80,321.65,2.53,203.79,1009.30,26.12,1.37
05/02/2025 02:04,26.00,89.16,326.63,2.61,188.57,1009.30,26.18,1.27
05/02/2025 02:05,26.00,89.00,323.26,2.53,196.91,1009.30,26.20,1.35
05/02/2025 02:06,26.01,89.00,327.15,1.90,194.86,1009.30,26.20,1.13
05/02/2025 02:07,26.10,89.70,326.25,2.26,185.17,1009.30,26.20,1.33
05/02/2025 02:08,26.10,89.10,327.15,2.69,163.03,1009.30,26.20,1.32
05/02/2025 02:09,26.10,88.75,314.90,2.88,147.23,1009.30,26.20,1.59
05/02/2025 02:10,26.10,88.00,328.10,2.65,150.25,1009.33,26.20,1.42
05/02/2025 02:11,26.10,88.00,318.95,2.27,144.32,1009.38,26.20,1.66
05/02/2025 02:12,26.10,88.00,335.15,3.35,131.12,1009.40,26.20,1.84
05/02/2025 02:13,26.10,87.80,273.15,2.85,125.30,1009.40,26.17,1.72
05/02/2025 02:14,26.10,87.00,325.35,2.08,134.75,1009.40,26.18,1.23
05/02/2025 02:15,26.10,87.16,324.68,2.72,151.32,903.15,26.28,1.45
05/02/2025 02:16,26.10,87.25,321.70,3.17,158.47,0.00,26.30,1.70
05/02/2025 02:17,26.10,88.70,271.30,2.48,157.73,0.00,26.30,1.60
05/02/2025 02:18,26.10,88.25,230.65,1.51,142.78,0.00,26.27,0.97
05/02/2025 02:19,26.14,87.50,296.50,2.29,125.08,302.85,26.30,1.04
05/02/2025 02:20,26.20,87.00,279.55,2.54,106.86,959.04,26.27,1.67
05/02/2025 02:21,26.20,87.00,310.00,1.98,104.94,1009.60,26.20,1.35
05/02/2025 02:22,26.20,87.10,325.40,2.14,106.87,1009.60,26.30,1.07
05/02/2025 02:23,26.20,87.75,332.95,2.55,106.79,1009.60,26.25,1.35
05/02/2025 02:24,26.19,87.70,323.05,3.04,109.38,1009.60,26.25,1.32
05/02/2025 02:25,26.17,88.00,335.05,2.52,104.00,1009.60,26.20,1.32
05/02/2025 02:26,26.10,87.35,330.55,2.34,112.18,1009.60,26.20,1.42
05/02/2025 02:27,26.10,87.65,298.50,2.14,128.55,1009.57,26.30,1.28
05/02/2025 02:28,26.10,88.00,330.20,2.10,134.19,1009.50,26.30,1.24
05/02/2025 02:29,26.15,88.00,317.20,1.99,134.13,1009.50,26.36,0.99
05/02/2025 02:30,26.18,88.00,92.26,1.62,145.98,1009.49,26.40,1.36
05/02/2025 02:31,26.18,87.00,165.65,2.22,159.35,1009.40,26.40,1.90
05/02/2025 02:32,26.20,87.00,310.45,2.08,172.83,1009.40,26.40,1.23
05/02/2025 02:33,26.20,87.55,189.75,1.77,187.31,1009.40,26.50,1.02
05/02/2025 02:34,26.20,87.95,105.25,1.74,189.66,1009.40,26.57,1.11
05/02/2025 02:35,26.20,87.00,213.25,2.53,185.07,1009.40,26.60,1.53
05/02/2025 02:36,26.23,87.25,319.35,2.38,189.73,1009.40,26.57,1.29
05/02/2025 02:37,26.30,87.75,291.60,1.76,189.87,1009.40,26.60,1.16
05/02/2025 02:38,26.30,87.00,118.05,2.34,193.11,1009.42,26.60,1.58
05/02/2025 02:39,26.30,87.00,313.65,1.58,199.90,1009.40,26.62,1.19
05/02/2025 02:40,26.35,87.70,312.25,2.18,199.52,1009.40,26.70,1.50
05/02/2025 02:41,26.40,87.75,243.90,2.50,187.66,1009.46,26.70,1.70
05/02/2025 02:42,26.40,87.00,330.85,2.67,162.12,1009.42,26.65,1.30
05/02/2025 02:43,26.40,87.00,308.70,2.15,147.85,1009.44,26.67,1.25
05/02/2025 02:44,26.40,87.00,339.80,3.13,175.35,1009.41,26.66,2.08
05/02/2025 02:45,26.40,87.00,337.05,3.09,215.36,1009.40,26.60,1.59
05/02/2025 02:46,26.41,87.70,321.90,2.37,232.43,1009.40,26.67,1.46
05/02/2025 02:47,26.49,88.20,320.40,2.87,228.21,1009.40,26.74,1.61
05/02/2025 02:48,26.50,88.00,321.25,2.79,225.62,1009.37,26.77,1.49
05/02/2025 02:49,26.50,88.00,323.45,3.61,232.70,1009.30,26.78,1.98
05/02/2025 02:50,26.50,87.00,326.30,3.17,230.09,1009.30,26.70,1.80
05/02/2025 02:51,26.50,87.00,327.50,2.94,231.68,1009.30,26.82,1.37
05/02/2025 02:52,26.50,87.65,328.35,2.51,238.88,1009.30,26.82,1.57
05/02/2025 02:53,26.52,87.50,332.85,2.22,242.83,1009.30,26.89,1.33
05/02/2025 02:54,26.60,87.10,307.70,2.29,244.57,1009.30,26.97,0.83
05/02/2025 02:55,26.60,86.50,323.20,3.56,248.26,1009.32,27.00,1.61
05/02/2025 02:56,26.60,86.85,330.65,3.93,245.58,1009.38,26.96,2.54
05/02/2025 02:57,26.60,86.20,328.10,2.80,224.67,1009.40,26.90,1.41
05/02/2025 02:58,26.60,86.90,300.25,2.98,197.12,1009.40,26.88,1.92
05/02/2025 02:59,26.60,87.00,303.25,3.10,216.62,1009.40,26.94,1.55
05/02/2025 03:00,26.62,86.45,326.75,2.40,247.77,1009.40,27.02,1.40
05/02/2025 03:01,26.70,87.00,329.75,3.45,256.51,1009.40,27.03,1.73
05/02/2025 03:02,26.70,86.90,328.55,3.11,256.75,1009.40,27.07,1.55
05/02/2025 03:03,26.70,86.20,329.95,3.64,241.73,1009.40,27.10,1.84
05/02/2025 03:04,26.70,86.00,320.30,2.75,207.30,1009.40,27.10,1.36
05/02/2025 03:05,26.73,86.80,332.15,3.08,183.48,1009.40,27.10,1.65
05/02/2025 03:06,26.80,86.25,333.15,2.71,198.46,1009.40,27.13,1.66
05/02/2025 03:07,26.80,86.00,323.85,3.42,232.40,1009.40,27.22,1.47
05/02/2025 03:08,26.80,85.70,330.45,3.42,237.94,1009.40,27.30,1.66
05/02/2025 03:09,26.75,85.30,313.40,2.98,202.40,1009.40,27.29,1.73
05/02/2025 03:10,26.80,86.00,320.65,4.84,188.65,1009.35,27.17,2.45
05/02/2025 03:11,26.75,86.00,321.80,4.00,218.88,1009.40,27.10,2.14
05/02/2025 03:12,26.76,86.45,327.80,3.91,237.46,1009.39,27.12,1.96
05/02/2025 03:13,26.79,86.00,271.50,2.68,185.34,1009.40,27.15,1.62
05/02/2025 03:14,26.80,86.40,326.65,2.71,158.59,1009.40,27.16,1.42
05/02/2025 03:15,26.80,86.70,324.50,3.52,143.69,1009.40,27.20,1.62
05/02/2025 03:16,26.80,86.40,322.90,4.12,149.22,1009.37,27.14,2.11
05/02/2025 03:17,26.80,86.00,323.10,3.65,165.62,1009.40,27.15,1.82
05/02/2025 03:18,26.80,86.00,326.80,4.03,194.38,1009.39,27.20,2.07
05/02/2025 03:19,26.80,86.70,285.05,2.63,218.52,1009.36,27.20,1.84
05/02/2025 03:20,26.80,86.15,335.90,4.20,210.23,1009.37,27.18,2.63
05/02/2025 03:21,26.80,85.00,329.95,4.16,226.26,1009.32,27.18,2.03
05/02/2025 03:22,26.80,85.85,322.55,3.51,263.24,756.97,27.30,2.11
05/02/2025 03:23,26.80,85.55,338.60,3.69,291.84,0.00,27.38,2.29
05/02/2025 03:24,26.81,85.15,336.25,2.73,332.87,0.00,27.55,1.52
05/02/2025 03:25,26.90,86.65,324.30,3.27,391.50,0.00,27.70,1.58
05/02/2025 03:26,26.90,86.00,319.10,2.96,363.98,807.44,27.70,1.56
05/02/2025 03:27,27.00,86.75,326.80,2.34,343.14,1009.30,27.71,1.43
05/02/2025 03:28,27.02,86.00,317.80,2.50,330.11,1009.30,27.80,1.52
05/02/2025 03:29,27.10,85.70,322.25,3.40,339.76,1009.30,27.79,2.07
05/02/2025 03:30,27.10,85.00,325.35,2.68,321.14,1009.30,27.69,1.66
05/02/2025 03:31,27.16,85.00,239.15,2.93,299.40,1009.30,27.80,1.56
05/02/2025 03:32,27.20,84.60,273.30,2.19,257.08,1009.30,27.80,1.47
05/02/2025 03:33,27.20,85.00,264.65,3.27,286.95,1009.30,27.86,1.62
05/02/2025 03:34,27.27,84.35,326.35,3.18,320.67,1009.30,27.83,2.19
05/02/2025 03:35,27.30,83.30,324.20,3.02,313.45,1009.27,27.89,1.82
05/02/2025 03:36,27.21,83.00,309.65,2.24,267.93,1009.26,27.90,1.74
05/02/2025 03:37,27.23,84.00,319.70,3.42,217.97,1009.26,27.84,2.12
05/02/2025 03:38,27.20,84.00,318.10,3.12,190.30,1009.30,27.80,1.95
05/02/2025 03:39,27.20,84.00,326.45,2.60,151.50,1009.30,27.80,1.47
05/02/2025 03:40,27.20,84.79,321.37,3.51,133.09,1009.29,27.80,1.74
05/02/2025 03:41,27.20,84.55,311.15,4.19,124.91,1009.22,27.80,2.06
05/02/2025 03:42,27.17,85.00,320.11,3.94,147.65,1009.20,27.70,1.72
05/02/2025 03:43,27.10,85.12,314.88,5.37,181.42,1009.20,27.74,2.53
05/02/2025 03:44,27.10,85.68,315.05,5.28,196.96,1009.20,27.70,2.45
05/02/2025 03:45,27.10,85.95,336.26,4.57,186.46,1009.20,27.70,2.30
05/02/2025 03:46,27.10,84.40,328.55,4.35,183.50,1009.20,27.66,2.85
05/02/2025 03:47,27.10,84.00,210.55,2.58,193.81,1009.20,27.72,1.56
05/02/2025 03:48,27.10,84.30,189.95,2.26,199.88,1009.20,27.80,1.73
05/02/2025 03:49,27.19,85.63,325.37,2.55,196.19,1009.20,27.84,1.24
05/02/2025 03:50,27.20,85.10,313.55,3.77,222.24,1009.24,27.90,2.38
05/02/2025 03:51,27.20,85.00,292.20,3.39,286.22,1009.28,27.90,2.36
05/02/2025 03:52,27.20,84.65,292.20,2.64,321.87,1009.29,28.08,1.35
05/02/2025 03:53,27.30,84.28,205.89,2.88,344.13,1009.21,28.24,1.48
05/02/2025 03:54,27.30,84.00,225.11,3.25,369.72,1009.20,28.28,2.27
05/02/2025 03:55,27.33,84.00,290.70,3.17,374.58,1009.20,28.23,2.05
05/02/2025 03:56,27.40,84.00,114.60,2.40,367.65,1009.20,28.29,1.91
05/02/2025 03:57,27.49,84.45,330.60,2.68,395.17,1009.20,25.22,1.55
05/02/2025 03:58,27.86,83.95,289.10,2.69,409.69,1009.20,21.27,1.75
05/02/2025 03:59,28.25,81.32,328.42,3.11,426.14,1009.17,21.60,1.72
05/02/2025 04:00,28.56,80.30,322.10,5.04,575.44,1009.10,21.56,2.49
05/02/2025 04:01,28.50,81.25,328.35,3.40,413.15,1009.12,21.40,2.02
05/02/2025 04:02,28.50,81.84,331.53,3.71,343.46,1009.10,21.48,2.35
05/02/2025 04:03,28.48,79.45,277.05,3.04,316.77,1009.10,20.67,1.22
05/02/2025 04:04,28.38,79.70,319.30,3.71,431.23,1009.10,28.19,1.84
05/02/2025 04:05,28.30,82.05,325.74,3.95,522.07,1009.10,28.25,2.12
05/02/2025 04:06,28.30,81.75,328.20,3.82,425.71,1009.10,28.43,2.43
05/02/2025 04:07,28.30,81.10,337.35,3.46,513.73,1009.10,28.67,2.07
05/02/2025 04:08,28.30,79.75,315.15,3.56,441.44,1009.10,28.68,1.99
05/02/2025 04:09,28.21,81.15,325.30,3.12,434.00,1009.10,28.66,1.98
05/02/2025 04:10,28.20,81.00,307.35,3.33,491.20,1009.10,28.89,2.02
05/02/2025 04:11,28.20,80.47,308.47,3.43,812.92,1009.04,29.16,2.36
05/02/2025 04:12,28.20,80.05,255.65,3.31,452.81,1009.00,28.98,2.39
05/02/2025 04:13,28.20,81.35,318.95,2.60,306.91,1009.00,28.95,2.17
05/02/2025 04:14,28.20,81.63,206.00,2.73,446.72,1009.00,29.15,2.12
05/02/2025 04:15,28.26,81.17,234.00,2.58,509.49,1009.00,29.12,2.27
05/02/2025 04:16,28.30,81.10,276.30,2.65,460.39,1008.94,29.18,1.90
05/02/2025 04:17,28.37,79.45,103.80,3.35,457.30,1008.95,29.24,2.33
05/02/2025 04:18,28.40,79.60,151.60,2.05,304.50,1008.90,29.20,1.73
05/02/2025 04:19,28.40,78.80,214.10,2.50,371.12,1008.90,29.29,1.82
05/02/2025 04:20,28.43,80.30,241.70,2.51,484.54,1008.90,29.41,1.60
05/02/2025 04:21,28.51,80.35,291.15,3.10,618.19,1008.90,29.55,1.82
05/02/2025 04:22,28.60,79.20,102.05,2.56,533.43,1008.90,29.43,2.00
05/02/2025 04:23,28.64,77.75,52.45,3.66,702.58,1008.89,29.62,2.11
05/02/2025 04:24,28.70,77.75,199.55,3.92,739.08,1008.85,29.74,2.27
05/02/2025 04:25,28.75,77.63,206.21,3.09,745.04,1008.87,29.83,2.03
05/02/2025 04:26,28.80,77.25,116.75,2.88,732.91,1008.83,29.95,2.26
05/02/2025 04:27,28.82,75.84,200.47,2.90,423.61,1008.82,29.84,1.92
05/02/2025 04:28,28.80,76.00,90.15,3.42,539.24,1008.80,29.99,1.97
05/02/2025 04:29,28.80,77.40,210.85,2.43,752.52,252.20,30.19,1.53
05/02/2025 04:30,28.86,78.35,312.60,2.35,786.35,0.00,30.28,1.45
05/02/2025 04:31,28.90,79.05,254.74,2.96,790.98,0.00,27.12,1.98
05/02/2025 04:32,28.99,76.90,310.80,3.88,630.69,0.00,25.85,2.79
05/02/2025 04:33,29.00,77.28,255.61,3.62,422.91,672.47,25.64,2.62
05/02/2025 04:34,29.00,76.00,181.30,4.08,346.25,1008.70,28.95,3.30
05/02/2025 04:35,29.00,75.90,297.10,3.54,429.93,1008.64,30.13,2.90
05/02/2025 04:36,28.93,76.00,278.25,3.32,478.10,1008.60,30.21,2.67
05/02/2025 04:37,28.91,76.50,134.30,3.14,636.39,1008.60,30.32,2.18
05/02/2025 04:38,29.12,76.20,113.70,3.57,671.30,1008.58,30.39,2.27
05/02/2025 04:39,29.27,75.70,178.90,3.49,557.50,1008.52,30.44,2.33
05/02/2025 04:40,29.43,74.60,160.75,3.10,525.06,1008.52,30.50,1.86
05/02/2025 04:41,29.45,75.20,194.45,2.60,391.33,1008.50,30.50,1.88
05/02/2025 04:42,29.55,75.00,134.05,2.85,373.44,1008.50,30.45,1.71
05/02/2025 04:43,29.66,74.20,340.75,3.72,427.72,1008.50,30.40,2.28
05/02/2025 04:44,29.61,73.85,329.60,3.70,423.84,1008.31,30.43,2.28
05/02/2025 04:45,29.66,75.20,326.20,4.66,401.94,1008.27,30.43,2.46
05/02/2025 04:46,29.69,72.71,328.48,5.05,423.28,1008.27,30.41,3.52
05/02/2025 04:47,29.55,73.65,316.55,4.48,419.23,1008.25,30.47,2.33
05/02/2025 04:48,29.50,74.45,318.50,3.10,345.13,1008.20,30.50,2.07
05/02/2025 04:49,29.59,74.85,227.45,2.94,298.87,1008.20,30.50,1.05
05/02/2025 04:50,29.58,73.84,224.00,3.19,346.92,1008.15,30.49,2.52
05/02/2025 04:51,29.50,74.90,214.40,2.77,439.92,1008.12,30.64,1.97
05/02/2025 04:52,29.45,73.70,198.45,2.92,599.09,1008.10,30.73,2.48
05/02/2025 04:53,29.40,74.40,296.20,2.31,618.35,1008.07,30.89,1.65
05/02/2025 04:54,29.40,75.00,212.40,2.49,639.50,1008.00,31.03,1.79
05/02/2025 04:55,29.40,75.75,330.55,3.30,530.35,1008.00,30.94,1.72
05/02/2025 04:56,29.40,74.80,322.10,4.07,337.69,1008.00,30.74,2.95
05/02/2025 04:57,29.40,74.00,291.50,2.72,511.16,1008.00,30.89,1.76
05/02/2025 04:58,29.40,74.00,313.15,3.12,556.87,1007.91,31.10,2.05
05/02/2025 04:59,29.40,74.65,284.85,3.52,504.81,1007.90,31.05,2.08
05/02/2025 05:00,29.40,75.20,289.30,3.86,453.49,1007.90,30.90,2.42
05/02/2025 05:01,29.40,74.80,293.20,3.04,363.32,1007.89,30.95,2.33
05/02/2025 05:02,29.40,74.35,277.10,3.11,469.12,1007.82,31.07,2.08
05/02/2025 05:03,29.40,75.00,333.25,3.46,566.84,1007.80,31.14,1.96
05/02/2025 05:04,29.40,75.75,332.20,4.30,575.70,1007.80,31.13,2.50
05/02/2025 05:05,29.40,74.50,345.00,4.28,669.02,1007.77,31.20,2.78
05/02/2025 05:06,29.40,74.58,272.42,2.91,627.72,1007.73,31.33,1.77
05/02/2025 05:07,29.40,75.00,319.25,3.13,422.19,1007.70,31.30,1.72
05/02/2025 05:08,29.46,74.85,330.60,4.03,375.45,1007.65,31.34,2.33
05/02/2025 05:09,29.48,74.15,322.65,3.52,421.51,1007.60,31.31,2.04
05/02/2025 05:10,29.49,74.65,128.65,3.42,534.27,1007.62,31.44,2.29
